,timesteps,full_model,clinical,cnv,mirna,mutation,rna
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20.0,0.0,0.0,0.0,0.0,0.0,0.0
4,29.0,0.0,0.0,0.0,0.0,0.0,0.0
5,62.0,0.00010989254298285934,0.00010344516647744123,0.00010794622029043008,0.00010803912804001454,0.00010869130234198282,0.0001123415624542563
6,91.0,0.0005225965976161908,0.00046404330668636204,0.0004815140508368474,0.0005048707391050829,0.0005218657068153701,0.0004717519860195049
7,127.0,0.0007397574281076926,0.0006737353072455672,0.0006783604105445837,0.0007149136171152555,0.0007390445046373521,0.0006905065068280655
8,162.0,0.0010807327099267789,0.0009998801519421005,0.0010390655869899044,0.0010630707635097306,0.0010792049382721525,0.001021536349337073
9,186.0,0.0015993522544151312,0.0014824888462838855,0.0015565309639084617,0.0015867604250133969,0.0015977172349990443,0.0014502644115823896
10,205.0,0.0016722360875988807,0.0015379767458316108,0.0016267150678324915,0.0016573245053252952,0.0016702344511172551,0.0014820009810921787
11,222.0,0.003110274201205438,0.0029757654075952696,0.0031877165165775136,0.003089079971087284,0.0031021597442293684,0.0027945996425821273
12,248.0,0.005071031005309944,0.004966306608393122,0.005144716899619266,0.0049946426557201315,0.005072118478464654,0.004466707994174063
13,291.0,0.005217432069485111,0.005151468834043846,0.005287374765985805,0.005131277131011044,0.005223549814193143,0.004446301184088281
14,329.0,0.007271171400678771,0.007144122400083807,0.00735927935904724,0.007099770590529015,0.007276279430677864,0.006294535536326996
15,355.0,0.05048869277136747,0.05038818566096257,0.05029093727259482,0.05144674248080422,0.05018582764020886,0.05105342029113984
16,373.0,0.05150928793187792,0.05134334187569043,0.051123077189731726,0.05270457840162474,0.05122586598289661,0.051805547807789225
17,408.0,0.05150928793187792,0.05134334187569043,0.051123077189731726,0.05270457840162474,0.05122586598289661,0.051805547807789225
18,459.0,0.05136285344326267,0.05129917793171941,0.051469555019803916,0.05430768398020909,0.05117947390309936,0.05202957000968858
19,551.0,0.05344753489661988,0.05315995735907208,0.053684215157040124,0.0562246597737885,0.053287486015852134,0.054025309373753175
20,563.0,0.05722408553048691,0.056981845992990124,0.057354663265826805,0.060642507761861274,0.05699660254612723,0.057179081282407146
21,637.0,0.10409601180333868,0.10481056054849378,0.1030748062930234,0.1078749491548302,0.10358329122849835,0.09631610814052272
22,693.0,0.10917444845776653,0.10898833304177025,0.1084851288720329,0.11253964374484514,0.10878495242060643,0.09942977346547842
23,723.0,0.11128039519986242,0.11115282722791159,0.11104367405640277,0.11466465828170273,0.1108840329507439,0.10100756595597447
24,774.0,0.12075484645670637,0.12022859205961162,0.12074610019419828,0.12386943889931214,0.12030111887839241,0.10652579590884384
25,881.0,0.14492809312828522,0.1438388283516855,0.14585442679931407,0.15022070826998113,0.1443665663568426,0.1401432015659268
26,932.0,0.156487729378627,0.15717974001152846,0.15768921447848805,0.17167391859590483,0.15587567144883654,0.16298892347609897
27,967.0,0.15594642838350695,0.15635023605841847,0.15867964289903172,0.1735488476966396,0.15519303490318448,0.1623058879009326
28,1042.0,0.15907438114900152,0.1592007460414877,0.1617057036372257,0.17431087718268856,0.15838712060475646,0.16550847489856246
29,1102.0,0.16052926031608153,0.16032208738244383,0.16266205675461223,0.17727661427186905,0.15991595639677156,0.16686891937464704
30,1132.0,0.16343037534250857,0.1617935141296984,0.16618288172131934,0.17973753891358402,0.16294505807874157,0.16820385952935746
31,1165.0,0.16343037534250857,0.1617935141296984,0.16618288172131934,0.17973753891358402,0.16294505807874157,0.16820385952935746
32,1329.0,0.20653513204844287,0.20889279326047042,0.2103595878394945,0.21948884173412875,0.20577111966192357,0.20588873744416047
33,1398.0,0.21254213105313677,0.21405545596901981,0.21688307581673516,0.22593858176325077,0.211781127309645,0.20559513048005543
34,1463.0,0.21210446221366147,0.2141905494577476,0.21631657163616858,0.22459173626341603,0.21100602992312187,0.2045454955060291
35,1496.0,0.21210446221366147,0.2141905494577476,0.21631657163616858,0.22459173626341603,0.21100602992312187,0.2045454955060291
36,1528.0,0.21590646863258328,0.21541828459021709,0.21961523496367616,0.22570578252997328,0.21489657331964251,0.20938660859444727
37,1558.0,0.21590646863258328,0.21541828459021709,0.21961523496367616,0.22570578252997328,0.21489657331964251,0.20938660859444727
38,1598.0,0.21795710701893362,0.21398528121644847,0.2236176054114319,0.23005682978253358,0.21740479653038047,0.20968926215066008
39,1629.0,0.22231594938096655,0.2170546901941188,0.22612663913569542,0.23764297700507733,0.22260836034363315,0.21267598866509682
40,1714.0,0.2268545967960954,0.22052624708012836,0.229125302791552,0.24574385739494797,0.2274698047663846,0.21487811697516151
41,1768.0,0.23013461134829746,0.22280015330578076,0.23080548547351445,0.25199509173019885,0.23077238345182302,0.2165520512606502
42,1852.0,0.23013461134829746,0.22280015330578076,0.23080548547351445,0.25199509173019885,0.23077238345182302,0.2165520512606502
43,1883.0,0.23013461134829746,0.22280015330578076,0.23080548547351445,0.25199509173019885,0.23077238345182302,0.2165520512606502
44,1913.0,0.23263373408555058,0.22525553133677118,0.2346309638530546,0.25559743542361213,0.23364258094844229,0.2240809161280536
45,2038.0,0.2722421278518872,0.25023458133663307,0.27087079915590023,0.2921840096621302,0.27336312977131255,0.24651949195677075
46,2231.0,0.33721036045155756,0.29533425087879317,0.3283281892520034,0.34895246980837863,0.33968170602622794,0.29115555419430983
47,2358.0,0.34053295867550565,0.29580531601387816,0.3320647115393575,0.3527360901540192,0.34331659554609856,0.30408063063842916
48,2438.0,0.3246232987924194,0.2685832430308026,0.3205225776193632,0.36077359155908945,0.3269890927297148,0.29164648822854167
