,timesteps,full_model,stage_event_pathologic_stage_Stage.III_clinical=0,stage_event_pathologic_stage_Stage.III_clinical=1,stage_event_pathologic_stage_Stage.IV_clinical=0,stage_event_pathologic_stage_Stage.IV_clinical=1,diagnosis_subtype_Papillary_clinical=0,diagnosis_subtype_Papillary_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1
0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,20.0,0.9946817571546992,0.9944637346915114,0.9949025402794214,0.9948459302725385,0.9940713152104714,0.9948901607348299,0.9941893491845422,0.9947089420117269,0.9946646407632371
4,34.0,0.9946817571546992,0.9944637346915114,0.9949025402794214,0.9948459302725385,0.9940713152104714,0.9948901607348299,0.9941893491845422,0.9947089420117269,0.9946646407632371
5,42.0,0.9946817571546992,0.9944637346915114,0.9949025402794214,0.9948459302725385,0.9940713152104714,0.9948901607348299,0.9941893491845422,0.9947089420117269,0.9946646407632371
6,57.0,0.9859997255846125,0.9859014250115054,0.9861172452688008,0.987676768979734,0.9828042152200159,0.985829349588567,0.9861983473175988,0.9859787156746174,0.9859959901586524
7,63.0,0.9832144746801709,0.9831161741070643,0.9833319943643598,0.9859068877471797,0.9780781249746301,0.9829458490420274,0.983569298306987,0.9831934647701768,0.9832107392542111
8,68.0,0.9800220984964366,0.9797647513604056,0.9802823004571438,0.9820814533127465,0.9760922227033374,0.979611579343876,0.9806462662757982,0.9800255213962145,0.9800070192659406
9,82.0,0.9735002347225024,0.9733570849542941,0.9736447001896056,0.9767025845490721,0.9674336137891656,0.9731090706207907,0.9740125352136902,0.9733810516796491,0.9735035248480713
10,93.0,0.9642201374646101,0.9639526241366368,0.964512664445421,0.9688050061579053,0.9555767585374436,0.9635555586176239,0.9653126156169589,0.9640681510156935,0.9642368967608542
11,106.0,0.9542643256428033,0.9540103632575366,0.9545542422806884,0.9587855687980978,0.9459872397940405,0.9539594519125353,0.9545115906549277,0.953746512059996,0.9544193135174353
12,122.0,0.9473131327900197,0.9474459789034777,0.9472017946843713,0.9505149561218735,0.9419867686096322,0.94677424669047,0.9481239769576338,0.946476330800331,0.9475505137950821
13,134.0,0.9473131327900197,0.9474459789034777,0.9472017946843713,0.9505149561218735,0.9419867686096322,0.94677424669047,0.9481239769576338,0.946476330800331,0.9475505137950821
14,147.0,0.9406654036919451,0.9407801265673852,0.9406332834343301,0.9466259837993435,0.9303113362869743,0.9402735796623928,0.9410584037345434,0.9398513983863757,0.94089725822813
15,163.0,0.9260065971065454,0.9261779409180252,0.9259566975427229,0.9359999771089039,0.9085930896971994,0.9251542972139168,0.9274411149841872,0.9247943400485725,0.9263621814147872
16,173.0,0.9154884959973336,0.9156309927325149,0.9155445791236013,0.9298813583313821,0.8893540100499703,0.9143070629272132,0.9176716942813545,0.9142617181886871,0.9158456990884184
17,187.0,0.9118254176887919,0.9119679144239738,0.9118815008150597,0.9278627105792588,0.8823688478058899,0.9108162255160066,0.9135919588908591,0.9104395051322809,0.9122374568228631
18,195.0,0.9081709108561897,0.908053970127332,0.9084331729035026,0.9229688203737592,0.8806221807516915,0.9069919922526974,0.9103039603280759,0.9068419354724536,0.9085700791351121
19,205.0,0.9004984474021588,0.900569557966884,0.9005186400740897,0.9164557273813985,0.8708464909258999,0.899329224442003,0.9025239652272331,0.8992233947536276,0.9008710608659141
20,213.0,0.8928632869098105,0.8933023378663296,0.8923959398584442,0.9077317103684625,0.8656367680306402,0.8913743505636114,0.895507735891586,0.8915221534699278,0.8932602304490836
21,225.0,0.8889708323678756,0.8896627450542305,0.888265065685647,0.9031098145061438,0.8634028025902701,0.8872074878346897,0.8920120273058137,0.8875696823945125,0.8893962686048614
22,238.0,0.8805922499005003,0.881173058114957,0.8800242985760873,0.8952974324784738,0.85392031507069,0.8789867864481359,0.8832554137211884,0.8791322501875045,0.8810419830524141
23,247.0,0.8805922499005003,0.881173058114957,0.8800242985760873,0.8952974324784738,0.85392031507069,0.8789867864481359,0.8832554137211884,0.8791322501875045,0.8810419830524141
24,259.0,0.8592332569871203,0.8598424298420516,0.8586500371917591,0.8744258959472946,0.8318334185800456,0.8575125117296746,0.8619895761943042,0.8576484897563921,0.8597368873464648
25,272.0,0.8462477759181016,0.8474654251481174,0.8449891940527194,0.8618015406739232,0.819049849538904,0.8440961412957214,0.8498404784275538,0.8446912003909565,0.8467423446584365
26,294.0,0.8373876108488734,0.8382677042664646,0.8364714843466277,0.8537523795489633,0.8079645121118135,0.8349604583338913,0.8416700138616321,0.8357297087067624,0.8379182068300859
27,322.0,0.8323977469653232,0.8335958908850687,0.8311523176414958,0.8478659166478814,0.8050939349047171,0.8297856816044911,0.8371723785047168,0.8306626807087364,0.832996800663047
28,340.0,0.817576118652279,0.8192503893324337,0.8158377495373036,0.8331483065877342,0.7900995787922341,0.8148097897447976,0.822583551021578,0.8158742783320598,0.8181627126238655
29,366.0,0.8031100566272855,0.8047254337232989,0.8015106133724667,0.8242972192835519,0.7653269243046421,0.8000465747975442,0.8088718667984354,0.8015687503628888,0.8036382529053299
30,390.0,0.7922585845080893,0.7943979967710315,0.7900373689961043,0.8140357551758576,0.7540384758167101,0.789438422985715,0.7973959530922827,0.7908341710948793,0.7927337837056506
31,415.0,0.7755666885903649,0.7780350217036133,0.7728259663365329,0.8004812094963878,0.7313570486690671,0.7724299595832783,0.7816042223836418,0.7739339646294743,0.7761235147378281
32,457.0,0.7540200955401021,0.7575013222265347,0.7500346222938258,0.7778019073514739,0.7130502908431899,0.749942558224866,0.7619058794570808,0.7521501221278722,0.7546315508583715
33,493.0,0.7372385710724404,0.7409869814261602,0.7329866920661103,0.7643235473231392,0.690370415318291,0.7331410006042637,0.7449463281288197,0.7355349509490866,0.7377846728741292
34,544.0,0.7042660778439176,0.7087988332346851,0.6990612420310445,0.7351533257462066,0.6503030778773187,0.7000591969543822,0.7117257377955729,0.7023180129360765,0.704909862215915
35,592.0,0.6739808059387786,0.6790085647914031,0.6683343971868055,0.7045660463354895,0.6216180656688094,0.6687008279846076,0.683182468049277,0.6721550752692491,0.6745676312825187
