,timesteps,full_model,clinical,cnv,mirna,mutation,rna
0,3.0,1.4154330705150048e-05,1.3946968314921378e-05,1.8952891940191787e-05,1.601285720213687e-05,1.4260174148913247e-05,2.0464086907265214e-05
1,4.0,1.4154330705150048e-05,1.3946968314921378e-05,1.8952891940191787e-05,1.601285720213687e-05,1.4260174148913247e-05,2.0464086907265214e-05
2,6.0,1.4657369227563893e-05,1.4399560832334433e-05,1.9457935015692764e-05,1.6577365634767665e-05,1.4768278904330502e-05,2.0607037018442166e-05
3,8.0,1.4210402259358738e-05,1.4241186187916416e-05,1.991309683094685e-05,1.6021613072260626e-05,1.4243727650047266e-05,2.0193150812372323e-05
4,12.0,1.4210402259358738e-05,1.4241186187916416e-05,1.991309683094685e-05,1.6021613072260626e-05,1.4243727650047266e-05,2.0193150812372323e-05
5,13.0,1.2988577645973465e-05,1.3045443435405052e-05,1.763826916416235e-05,1.427121335877068e-05,1.3125849488365756e-05,2.078222292562656e-05
6,16.0,1.1976775805879931e-05,1.2358959679135145e-05,1.5425155029398595e-05,1.2836172656615327e-05,1.2250057466098726e-05,2.1950437207681356e-05
7,18.0,1.1976775805879931e-05,1.2358959679135145e-05,1.5425155029398595e-05,1.2836172656615327e-05,1.2250057466098726e-05,2.1950437207681356e-05
8,21.0,1.0993100707015612e-05,1.209023743726695e-05,1.5371003421418082e-05,1.3570008324120773e-05,1.1399894279998199e-05,1.850213394876009e-05
9,23.0,1.0993100707015612e-05,1.209023743726695e-05,1.5371003421418082e-05,1.3570008324120773e-05,1.1399894279998199e-05,1.850213394876009e-05
10,25.0,9.671918545001544e-05,0.00010927426266717332,0.00010021944691957406,0.0001057236877692718,9.632231850173817e-05,9.226431822456489e-05
11,27.0,9.040558768159443e-05,0.00010334119571551695,9.662238494038606e-05,0.00010181199270496148,9.096486670660788e-05,8.753399524772214e-05
12,30.0,0.00030175382674483745,0.00031611033735721024,0.0003122043844247099,0.0002916145023042063,0.0002970018471541562,0.00029071865569915104
13,31.0,0.00030175382674483745,0.00031611033735721024,0.0003122043844247099,0.0002916145023042063,0.0002970018471541562,0.00029071865569915104
14,35.0,0.00030175382674483745,0.00031611033735721024,0.0003122043844247099,0.0002916145023042063,0.0002970018471541562,0.00029071865569915104
15,38.0,0.00030175382674483745,0.00031611033735721024,0.0003122043844247099,0.0002916145023042063,0.0002970018471541562,0.00029071865569915104
16,45.0,0.00030175382674483745,0.00031611033735721024,0.0003122043844247099,0.0002916145023042063,0.0002970018471541562,0.00029071865569915104
17,52.0,0.0005060725290341056,0.0005084573887252397,0.0005103145728772996,0.0005075247883052828,0.0005047328520614449,0.0004687371995596107
