,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical=0,number_of_lymphnodes_positive_by_he_clinical=1,breast_carcinoma_surgical_procedure_name_Modified.Radical.Mastectomy_clinical=0,breast_carcinoma_surgical_procedure_name_Modified.Radical.Mastectomy_clinical=1,breast_carcinoma_progesterone_receptor_status_Positive_clinical=0,breast_carcinoma_progesterone_receptor_status_Positive_clinical=1,breast_carcinoma_estrogen_receptor_status_Positive_clinical=0,breast_carcinoma_estrogen_receptor_status_Positive_clinical=1
0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,81.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,107.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,125.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,146.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,168.0,0.9963789817419146,0.9961076672668031,0.9960899829583594,0.9963985802833825,0.9963333130132911,0.9964416878583031,0.996316721842033,0.9964480459060417,0.9963472235258077
11,177.0,0.9945824969699153,0.9949460252392065,0.9948013891976869,0.9946675802911541,0.9944270914172677,0.9947748069858054,0.9944692052220632,0.9947208209747314,0.9945370053972178
12,191.0,0.9945824969699153,0.9949460252392065,0.9948013891976869,0.9946675802911541,0.9944270914172677,0.9947748069858054,0.9944692052220632,0.9947208209747314,0.9945370053972178
13,210.0,0.9945824969699153,0.9949460252392065,0.9948013891976869,0.9946675802911541,0.9944270914172677,0.9947748069858054,0.9944692052220632,0.9947208209747314,0.9945370053972178
14,223.0,0.9945824969699153,0.9949460252392065,0.9948013891976869,0.9946675802911541,0.9944270914172677,0.9947748069858054,0.9944692052220632,0.9947208209747314,0.9945370053972178
15,239.0,0.9926622694643259,0.9938756022330616,0.9936341331999727,0.9927124952335206,0.9925465592384322,0.9926363802970076,0.9927017660081227,0.9926040781380676,0.992703782938402
16,257.0,0.9906569846921292,0.9927765543530225,0.992393926157857,0.9907986491813342,0.9903885018420334,0.9903888269201769,0.9908567310475076,0.9904699992291689,0.9907482187687323
17,268.0,0.9883646799133284,0.9912904312004479,0.9907880279524033,0.9885792051257699,0.9879733900456892,0.9879712159582975,0.9886482489737585,0.9879780433078587,0.9885336677837565
18,292.0,0.9883646799133284,0.9912904312004479,0.9907880279524033,0.9885792051257699,0.9879733900456892,0.9879712159582975,0.9886482489737585,0.9879780433078587,0.9885336677837565
19,319.0,0.9854177330711269,0.9880685379682355,0.9877285720183421,0.9855749571478516,0.9851316772551493,0.9850798246716512,0.9856753994627978,0.9850581656266572,0.9855633365878138
20,346.0,0.9832982404793865,0.985959441850723,0.9851299630138686,0.9837642412899554,0.9824437000004981,0.982798477708531,0.9836223971708805,0.9827080880231327,0.9835613324444449
21,373.0,0.9807142270014509,0.9838322428997068,0.9827659944722945,0.981370439513306,0.9795728567479166,0.9802407793742578,0.9810109715736957,0.9802776409900896,0.9809306181616447
22,413.0,0.9807142270014509,0.9838322428997068,0.9827659944722945,0.981370439513306,0.9795728567479166,0.9802407793742578,0.9810109715736957,0.9802776409900896,0.9809306181616447
23,461.0,0.9807142270014509,0.9838322428997068,0.9827659944722945,0.981370439513306,0.9795728567479166,0.9802407793742578,0.9810109715736957,0.9802776409900896,0.9809306181616447
24,498.0,0.9807142270014509,0.9838322428997068,0.9827659944722945,0.981370439513306,0.9795728567479166,0.9802407793742578,0.9810109715736957,0.9802776409900896,0.9809306181616447
25,543.0,0.9753002564884339,0.9788127647325814,0.9776657493023236,0.976234010675781,0.9736764182285058,0.9748287549310455,0.9756029921595271,0.9744281705932478,0.9756279415520251
26,578.0,0.9637804033841971,0.9711980481731444,0.9682099642424506,0.9647352981862177,0.9620083863408442,0.9624792729737327,0.9645142531689431,0.9618441683500575,0.9644327996953684
27,622.0,0.9607948725657468,0.9698657474835997,0.9666310932581227,0.961949394837803,0.9587152672489896,0.9586135455456727,0.9618606546136984,0.9582803033279056,0.9615824017531355
28,688.0,0.957935909473895,0.9683168643566739,0.9647865356872223,0.9592703282868373,0.9555511055977131,0.955260879532078,0.9592680021676172,0.9551008526037714,0.9588297117332818
29,748.0,0.9548294014667675,0.9664367205259284,0.9627739734056899,0.9563722318983252,0.9520884717467889,0.9516691009607402,0.9563616691543199,0.9521480291584915,0.9556672110982238
30,797.0,0.9477160255978746,0.959897034274862,0.9564771078881551,0.9495312599742215,0.9444971705105584,0.9445280616743883,0.9492784925079729,0.9447360539486531,0.9487286880975515
31,854.0,0.9410011635281191,0.9542649647877919,0.9495231397140506,0.9427383588829792,0.9379182718031348,0.9380554153480739,0.942419808766692,0.9383006816257348,0.9419251636508678
32,921.0,0.9301417008154266,0.9438411292560088,0.9384520263707842,0.9320994519054714,0.9267607882198979,0.9266999381978598,0.9318685881748012,0.9270474608910181,0.9311189494718918
33,987.0,0.92312372084947,0.9372973768325239,0.9321063294915279,0.925184743397208,0.9195545054003317,0.9197081314374753,0.9248868418094276,0.9198405401905918,0.9242394492967856
