,timesteps,full_model,clinical,cnv,mirna,mutation,rna
0,8.0,1.4362407404872083e-05,1.5325848899583393e-05,1.4940629169649688e-05,1.6512706380799845e-05,1.385666755275844e-05,1.5304040724984126e-05
1,12.0,1.4362407404872083e-05,1.5325848899583393e-05,1.4940629169649688e-05,1.6512706380799845e-05,1.385666755275844e-05,1.5304040724984126e-05
2,13.0,1.3905809766752524e-05,1.4658263359252765e-05,1.4026494545567301e-05,1.5980680713005392e-05,1.3484108806694943e-05,1.5483304497275973e-05
3,16.0,1.4176361417756323e-05,1.5009612068888862e-05,1.4044789295714768e-05,1.6448269774907063e-05,1.3738441190004223e-05,1.5482337550401122e-05
4,18.0,1.4671642939962774e-05,1.548838452190133e-05,1.4366992357925816e-05,1.6946060352071387e-05,1.4231439897932074e-05,1.5849139495192344e-05
5,21.0,1.4671642939962774e-05,1.548838452190133e-05,1.4366992357925816e-05,1.6946060352071387e-05,1.4231439897932074e-05,1.5849139495192344e-05
6,23.0,1.4671642939962774e-05,1.548838452190133e-05,1.4366992357925816e-05,1.6946060352071387e-05,1.4231439897932074e-05,1.5849139495192344e-05
7,25.0,0.0001084112147002248,9.945228070276988e-05,9.443695663236283e-05,9.488138463099889e-05,0.00010287183167660065,9.169883545762476e-05
8,27.0,0.00011207676707698898,0.0001024982918069418,9.755738377169959e-05,9.854930001910513e-05,0.0001059441181027495,9.240928267385995e-05
9,30.0,0.04441872553645778,0.04439333559078796,0.044680888512157776,0.044597442884651006,0.04447486139880569,0.044605843829437816
10,31.0,0.04441872553645778,0.04439333559078796,0.044680888512157776,0.044597442884651006,0.04447486139880569,0.044605843829437816
11,35.0,0.04441872553645778,0.04439333559078796,0.044680888512157776,0.044597442884651006,0.04447486139880569,0.044605843829437816
12,38.0,0.04441872553645778,0.04439333559078796,0.044680888512157776,0.044597442884651006,0.04447486139880569,0.044605843829437816
13,45.0,0.044428295440160366,0.04440085536419972,0.044688870536829434,0.044603625926090365,0.04448244952778257,0.04460992603622879
14,52.0,0.04436275648968815,0.044318873763757136,0.04427997510613975,0.04470777666663319,0.04442883895937096,0.04415894624092782
15,62.0,0.09405764599864021,0.09398715734935481,0.09447498636958597,0.09495960284863601,0.09419817916381606,0.09377391641492086
16,82.0,0.09202107925295466,0.09172260430695778,0.09255520055037224,0.0931283229419593,0.09222106176009685,0.09226597379493409
17,92.0,0.09207449218299191,0.09176677436400114,0.09256653230606339,0.09319203722846728,0.09227166392330867,0.09230545219888674
18,111.0,0.08974682326922362,0.08947037004491828,0.09029366373648713,0.09159892851705007,0.09004449085287768,0.09072680106135066
19,126.0,0.08751298010524049,0.08752613371010617,0.08805067359483151,0.0902728441052685,0.08782533818245662,0.08799004349194244
20,137.0,0.08623411717517297,0.08584644644040773,0.08698304262709476,0.08938806362021232,0.0865793212881636,0.08732931072634834
21,156.0,0.08240187482608298,0.08205654012143576,0.08403260660308445,0.08700092524576171,0.08279699438994356,0.08371161971779861
22,174.0,0.08309508571357817,0.08214976549379183,0.0847329054182055,0.08735363269047293,0.08337617139696206,0.0843530410597495
23,198.0,0.08309508571357817,0.08214976549379183,0.0847329054182055,0.08735363269047293,0.08337617139696206,0.0843530410597495
24,209.0,0.08213182176676039,0.08091415422090914,0.08404227673456754,0.08731234946953262,0.08243543162330953,0.08317536118120274
25,230.0,0.14330050253593016,0.1493265806187981,0.1441260533739797,0.1461575051625439,0.14448024664568448,0.14665853490261913
26,243.0,0.14147145931598948,0.1480446780394895,0.1418081154839908,0.14571015990786745,0.14269435942567185,0.1443452167999074
27,255.0,0.13902368968895387,0.1455544746295668,0.14034574432709285,0.14424601861331904,0.14036787702453876,0.14277491208381143
28,273.0,0.13882766842710775,0.14537717026679597,0.13957082413818844,0.14373141306158815,0.14021297454619025,0.1425079612634024
29,294.0,0.20850449761772347,0.21371826017668924,0.2008797531294357,0.2120196414939175,0.21051265842533642,0.21128621289256772
30,336.0,0.20052148911293816,0.20777184126695578,0.1944324717394351,0.20579884035508555,0.2027388664806093,0.20479250001287722
31,356.0,0.1997209355378768,0.2068717356974724,0.1917883783684135,0.20604151232896026,0.2016573875448168,0.2028522063335621
32,378.0,0.1984043177419749,0.20430141649202097,0.19186524960147222,0.20263498384608275,0.20072780480709743,0.20097286972588943
33,422.0,0.1940156013089907,0.20191175940720496,0.18653537904190212,0.1998829239566951,0.19642748724314982,0.19688324272835347
34,457.0,0.19381434659702365,0.20126202532008924,0.18583699522552918,0.1994694061399428,0.19687250664994452,0.19792366195378588
35,496.0,0.2339477546870725,0.24043183183911804,0.23002845920716472,0.24460737323959234,0.23896938114719252,0.23003418047970345
36,542.0,0.2978673359546439,0.3026011462369833,0.28597638970776257,0.294951879168732,0.30553975656480553,0.2896871754637244
37,570.0,0.288702816805968,0.28936820876014124,0.27808878143519933,0.2864520341007055,0.2974761875438222,0.2731859228614917
38,640.0,0.2766428454692265,0.2784912264247532,0.26644629575131484,0.2763290331334585,0.2867021167079228,0.26425050861862037
39,680.0,0.26902481047405485,0.27350244828892906,0.2594469402006162,0.2708955329624738,0.27538116885386965,0.2548567323107529
40,787.0,0.2724517917325709,0.2764320391693504,0.2626902827773695,0.27292803989906383,0.27854200090659287,0.2540749373552043
41,881.0,0.29383399010189315,0.29360998579863784,0.28363138139516403,0.2778474756790425,0.2961287677873059,0.2819231348770984
42,1083.0,0.29383399010189315,0.29360998579863784,0.28363138139516403,0.2778474756790425,0.2961287677873059,0.2819231348770984
43,1346.0,0.28784352325336743,0.28588698693832937,0.27904796546298444,0.27294421390653356,0.2898699855529496,0.2764382939237995
44,1645.0,0.31100699916362706,0.3012625093158717,0.2941361553267264,0.29430861203423536,0.3146130940084143,0.28996083104747583
