,timesteps,full_model,breslow_depth_value_clinical=0,breslow_depth_value_clinical=1,tumor_tissue_site_Regional.Lymph.Node_clinical=0,tumor_tissue_site_Regional.Lymph.Node_clinical=1,melanoma_ulceration_indicator_YES_clinical=0,melanoma_ulceration_indicator_YES_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1
0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,59.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,99.0,0.9943248883638959,0.9963377513251268,0.9963377513251268,0.9944528889779579,0.9941776306859267,0.9947746991791352,0.9939190978732922,0.9943696829267626,0.99427854916093
10,133.0,0.9943248883638959,0.9963377513251268,0.9963377513251268,0.9944528889779579,0.9941776306859267,0.9947746991791352,0.9939190978732922,0.9943696829267626,0.99427854916093
11,213.0,0.9866559291615026,0.9899427412860008,0.9899427412860008,0.986783929775565,0.9865086714835337,0.9873946364533377,0.9860021467030281,0.9865719393561277,0.9867153978053089
12,263.0,0.9725594625089525,0.9822750250202855,0.9822750250202855,0.9727629502567353,0.9723171579769009,0.9736909402232856,0.9715219902441925,0.9726787795205889,0.9724177739598846
13,282.0,0.9505132364083784,0.9646897346744222,0.9646897346744222,0.9507815017851958,0.950205336160129,0.952184502979109,0.9489281951743732,0.9505788957618213,0.9504505640474689
14,353.0,0.9447544010955733,0.9614418524227547,0.9614418524227547,0.9451351453735022,0.944304373562015,0.9468824032017705,0.9425951521827967,0.9445139728610243,0.944915412544865
15,384.0,0.9265512402042987,0.9471447852672368,0.9471447852672368,0.9269661656513487,0.9260364424788615,0.9289941729416891,0.9240282742392819,0.9262682923240669,0.9267759397225497
16,422.0,0.9093141720344668,0.9279352222432474,0.9279352222432474,0.909904874166854,0.9086891172271907,0.9113758858738632,0.9072249376539615,0.9092178163878324,0.909443791986332
17,440.0,0.8990900168873175,0.9187469927835579,0.9187469927835579,0.899683614637459,0.8984050418740501,0.9018494737417148,0.896228536803155,0.8992006755326687,0.8990529783022004
18,470.0,0.876808740001557,0.8999800202622606,0.8999800202622606,0.8771876189865273,0.8762777049238557,0.8801259957555466,0.8735435987571822,0.8764172946444675,0.877134797501377
19,507.0,0.8662572528311826,0.8895426711900323,0.8895426711900323,0.8668905774953178,0.8655000231538589,0.8698119027852932,0.8626160104141742,0.8659427820390186,0.8665531898490756
20,650.0,0.8438653134056862,0.86904432420621,0.86904432420621,0.8448328687175273,0.8428506533379047,0.847072753071956,0.8405916589754985,0.8432980990238259,0.8443296635705906
21,710.0,0.8332679540835483,0.855901785501795,0.855901785501795,0.8342441029883209,0.8322534043472021,0.8360131314029646,0.8305341143225908,0.8325287695477902,0.8338571234274889
