,timesteps,full_model,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,stage_event_pathologic_stage_Stage.IB_clinical=0,stage_event_pathologic_stage_Stage.IB_clinical=1,stage_event_pathologic_stage_Stage.IIA_clinical=0,stage_event_pathologic_stage_Stage.IIA_clinical=1,anatomic_neoplasm_subdivision_R.Upper_clinical=0,anatomic_neoplasm_subdivision_R.Upper_clinical=1
0,2.0,0.995503699507647,0.9952456894532055,0.9952456894532055,0.9954578615736511,0.9955917638555796,0.9955293284752414,0.9954523682416111,0.9955380622740674,0.9954319944184777
1,4.0,0.995503699507647,0.9952456894532055,0.9952456894532055,0.9954578615736511,0.9955917638555796,0.9955293284752414,0.9954523682416111,0.9955380622740674,0.9954319944184777
2,6.0,0.9885062329311382,0.986669634484859,0.986669634484859,0.988448283753123,0.9885847279010802,0.9884740509964132,0.9885698636911968,0.9885897827434557,0.988325851162897
3,12.0,0.9836429337257399,0.9821492669247527,0.9821492669247527,0.9835575881656714,0.9837549189370444,0.9835880948813609,0.9837412769353717,0.9838296821246355,0.9832062176363038
4,14.0,0.9836429337257399,0.9821492669247527,0.9821492669247527,0.9835575881656714,0.9837549189370444,0.9835880948813609,0.9837412769353717,0.9838296821246355,0.9832062176363038
5,18.0,0.9810180538414416,0.9797577639186552,0.9797577639186552,0.9809547914613508,0.9810858726927899,0.9809389517304251,0.9811551367204958,0.9811912802931776,0.9806063013467629
6,24.0,0.9783630817772966,0.9773666078499903,0.9773666078499903,0.9783338552194164,0.9783866343858854,0.9782691399353743,0.978539557396574,0.9785363082290319,0.9779513292826183
7,28.0,0.9783630817772966,0.9773666078499903,0.9773666078499903,0.9783338552194164,0.9783866343858854,0.9782691399353743,0.978539557396574,0.9785363082290319,0.9779513292826183
8,31.0,0.9783630817772966,0.9773666078499903,0.9773666078499903,0.9783338552194164,0.9783866343858854,0.9782691399353743,0.978539557396574,0.9785363082290319,0.9779513292826183
9,36.0,0.9755738424234816,0.9748050025506386,0.9748050025506386,0.9755129535486519,0.9756621822584004,0.975560321805072,0.9755549432421207,0.9757249285441516,0.9752104568936463
10,40.0,0.9755738424234816,0.9748050025506386,0.9748050025506386,0.9755129535486519,0.9756621822584004,0.975560321805072,0.9755549432421207,0.9757249285441516,0.9752104568936463
11,49.0,0.972190078889985,0.9707705000569646,0.9707705000569646,0.9721110715237394,0.9723218239458442,0.9722285170036323,0.9720452320916488,0.9723208090969478,0.9718829719153892
12,55.0,0.9666293371864586,0.964584910845353,0.964584910845353,0.9665940251599622,0.9666612697740845,0.9666003216009073,0.9666198392837613,0.9667989174322715,0.9662073158864221
13,61.0,0.9602625319892304,0.9574335896057043,0.9574335896057043,0.9601922853250027,0.9603397109971022,0.9601424683349538,0.9604076100600226,0.9603880420070037,0.9599411982742538
14,70.0,0.9602625319892304,0.9574335896057043,0.9574335896057043,0.9601922853250027,0.9603397109971022,0.9601424683349538,0.9604076100600226,0.9603880420070037,0.9599411982742538
