,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical=0,number_of_lymphnodes_positive_by_he_clinical=1,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1
0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,12.0,0.9914020196940502,0.9933698611588629,0.9930156678533364,0.9903707840104092,0.9903707840104092,0.9916744000440394,0.991160945128023
4,31.0,0.983128080985632,0.9840838148385739,0.9832215650137696,0.9809429414628412,0.9809429414628412,0.9831993702540276,0.983094045081844
5,35.0,0.983128080985632,0.9840838148385739,0.9832215650137696,0.9809429414628412,0.9809429414628412,0.9831993702540276,0.983094045081844
6,42.0,0.9737220832185973,0.9772569290022756,0.976063410876987,0.9710552737872455,0.9710552737872455,0.974128750939449,0.9733617487573621
7,75.0,0.9639914031378617,0.9699475004604765,0.9682239426755649,0.962308265558534,0.962308265558534,0.9646025195198985,0.9634437644265802
8,105.0,0.9473116734303514,0.9571217790952271,0.9547168101796367,0.9453299559688247,0.9453299559688247,0.9482056698461221,0.9465210694949563
9,110.0,0.9386444662161435,0.9507909533985682,0.9480851527080054,0.9364219352775602,0.9364219352775602,0.939280738698668,0.9380870034280263
10,123.0,0.9117475622884964,0.9247998705819327,0.9227186229180878,0.9102388420242634,0.9102388420242634,0.9126553621673505,0.910948405902137
11,128.0,0.9117475622884964,0.9247998705819327,0.9227186229180878,0.9102388420242634,0.9102388420242634,0.9126553621673505,0.910948405902137
12,145.0,0.8852954341869856,0.9001666846026068,0.898076084065578,0.8816372539936089,0.8816372539936089,0.8864159877894053,0.8843146466077522
13,153.0,0.8755007231264055,0.8923909056188849,0.8898500214831431,0.8711995088204068,0.8711995088204068,0.876455425375877,0.8746810486276401
14,155.0,0.8755007231264055,0.8923909056188849,0.8898500214831431,0.8711995088204068,0.8711995088204068,0.876455425375877,0.8746810486276401
15,161.0,0.8755007231264055,0.8923909056188849,0.8898500214831431,0.8711995088204068,0.8711995088204068,0.876455425375877,0.8746810486276401
16,167.0,0.8755007231264055,0.8923909056188849,0.8898500214831431,0.8711995088204068,0.8711995088204068,0.876455425375877,0.8746810486276401
17,181.0,0.8755007231264055,0.8923909056188849,0.8898500214831431,0.8711995088204068,0.8711995088204068,0.876455425375877,0.8746810486276401
18,188.0,0.8651046756560777,0.8844136713213796,0.8813367693711153,0.8616994888513261,0.8616994888513261,0.8662098944034138,0.8641429480378543
19,202.0,0.8651046756560777,0.8844136713213796,0.8813367693711153,0.8616994888513261,0.8616994888513261,0.8662098944034138,0.8641429480378543
20,219.0,0.8408771652090611,0.85877349404691,0.8560338427699336,0.835074482844661,0.835074482844661,0.8422276158538845,0.8397254228259199
21,228.0,0.829863327029019,0.8503859822107627,0.8471454318088464,0.82514923711228,0.82514923711228,0.8308917681421555,0.8290125417532872
22,233.0,0.829863327029019,0.8503859822107627,0.8471454318088464,0.82514923711228,0.82514923711228,0.8308917681421555,0.8290125417532872
23,247.0,0.8048856763181994,0.8241484772618389,0.8216037946023674,0.7997532941178023,0.7997532941178023,0.8054156295563972,0.8045488236639353
24,250.0,0.79293071312868,0.815167809245527,0.8119584289269414,0.7886632932368124,0.7886632932368124,0.7938010136530492,0.7922791532891675
25,292.0,0.7810233451865604,0.8056811940146142,0.8019400524419279,0.7756996135974702,0.7756996135974702,0.7821631464267894,0.7801504236103319
26,319.0,0.7685721885994867,0.795431285358147,0.7912189283692533,0.7619654707619502,0.7619654707619502,0.7699986647342255,0.7674542990833159
27,330.0,0.7685721885994867,0.795431285358147,0.7912189283692533,0.7619654707619502,0.7619654707619502,0.7699986647342255,0.7674542990833159
28,347.0,0.7549068169044163,0.7842308393164856,0.7793777935309356,0.7488358763269325,0.7488358763269325,0.7567018912991083,0.7534502089635853
29,360.0,0.7549068169044163,0.7842308393164856,0.7793777935309356,0.7488358763269325,0.7488358763269325,0.7567018912991083,0.7534502089635853
30,394.0,0.7260265272033416,0.7443551598162843,0.742374458053814,0.7175492335481685,0.7175492335481685,0.7272534548052667,0.7250142181290105
31,397.0,0.7260265272033416,0.7443551598162843,0.742374458053814,0.7175492335481685,0.7175492335481685,0.7272534548052667,0.7250142181290105
