,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical=0,number_of_lymphnodes_positive_by_he_clinical=1,neoplasm_histologic_grade_G3_clinical=0,neoplasm_histologic_grade_G3_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1,stage_event_pathologic_stage_Stage.IIIA_clinical=0,stage_event_pathologic_stage_Stage.IIIA_clinical=1
0,3.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
1,4.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
2,6.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
3,8.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
4,12.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
5,13.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
6,16.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
7,18.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
8,21.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
9,23.0,0.9966796365949842,0.9968985926468147,0.9968985926468147,0.9964504891887184,0.9968421879560518,0.9967392078811258,0.9966327771732493,0.9966355687983743,0.9967270942221029
10,25.0,0.992306010144102,0.9935615680781246,0.9935615680781246,0.9923212276229787,0.9922923844806887,0.9921529099209617,0.9923755752582832,0.9922358124039888,0.9923831287881697
11,27.0,0.992306010144102,0.9935615680781246,0.9935615680781246,0.9923212276229787,0.9922923844806887,0.9921529099209617,0.9923755752582832,0.9922358124039888,0.9923831287881697
12,30.0,0.9884783681717894,0.9891076704142198,0.9891076704142198,0.988717589077449,0.9882916655852979,0.9884644671439929,0.9884494820667566,0.9883848653469307,0.9885904444429762
13,31.0,0.9884783681717894,0.9891076704142198,0.9891076704142198,0.988717589077449,0.9882916655852979,0.9884644671439929,0.9884494820667566,0.9883848653469307,0.9885904444429762
14,35.0,0.9884783681717894,0.9891076704142198,0.9891076704142198,0.988717589077449,0.9882916655852979,0.9884644671439929,0.9884494820667566,0.9883848653469307,0.9885904444429762
15,38.0,0.9884783681717894,0.9891076704142198,0.9891076704142198,0.988717589077449,0.9882916655852979,0.9884644671439929,0.9884494820667566,0.9883848653469307,0.9885904444429762
16,45.0,0.9884783681717894,0.9891076704142198,0.9891076704142198,0.988717589077449,0.9882916655852979,0.9884644671439929,0.9884494820667566,0.9883848653469307,0.9885904444429762
17,52.0,0.9837411093703284,0.9839548351806477,0.9839548351806477,0.9838947774107737,0.9836185714327484,0.9838560219018542,0.9836796287411761,0.9836834988685005,0.9837943621121035
18,62.0,0.9734031051807794,0.9755271003023701,0.9755271003023701,0.9738671276898299,0.9730762900455228,0.9736441119570417,0.9733174114765659,0.9734750016126953,0.9732594726044818
19,82.0,0.962682222766108,0.9668606565154838,0.9668606565154838,0.9632382045685411,0.9623017501469069,0.9631007517376906,0.9625053668342929,0.9627690983832766,0.9625020581818251
20,92.0,0.962682222766108,0.9668606565154838,0.9668606565154838,0.9632382045685411,0.9623017501469069,0.9631007517376906,0.9625053668342929,0.9627690983832766,0.9625020581818251
