,timesteps,full_model,clinical,cnv,mirna,mutation,rna
0,2.0,0.02343485024662151,0.023410052396801943,0.023531984217784352,0.023643588467283743,0.023391116932169796,0.023518926231956404
1,4.0,0.02343485024662151,0.023410052396801943,0.023531984217784352,0.023643588467283743,0.023391116932169796,0.023518926231956404
2,6.0,0.02303301464480794,0.023074812197849178,0.02316065486570183,0.023408510889522095,0.02290350151718022,0.023088277362293384
3,12.0,0.023066488294394418,0.023095714233814554,0.023229127444578897,0.023079539971430155,0.02296853214572409,0.023138956432189058
4,14.0,0.023032586278974677,0.02305892945574282,0.023215048222691805,0.023071531197011726,0.02293642357737396,0.023098680886993416
5,18.0,0.022918977226722807,0.022933345076850627,0.023118164697788216,0.02300462706723559,0.022881806992049683,0.022978924572906945
6,24.0,0.022962223893142304,0.022954345897335724,0.023182410324363575,0.022981271812742406,0.022903884714230077,0.0230939608099339
7,28.0,0.0229710647293893,0.022958866492501406,0.023185589955108082,0.022986486329986705,0.022911789878324804,0.023109288844207466
8,31.0,0.022978523674293937,0.022966575748351602,0.023191092823213615,0.022994927045463222,0.022919999470131708,0.023106037955777054
9,36.0,0.022488732473310152,0.022467100851694163,0.022673570327190588,0.023025606691969798,0.02248165033274409,0.02271529118343052
10,40.0,0.022488732473310152,0.022467100851694163,0.022673570327190588,0.023025606691969798,0.02248165033274409,0.02271529118343052
11,49.0,0.022655030996585196,0.022638167839402666,0.022790315519894074,0.023165814397906298,0.022629091066328398,0.022836196059423018
12,55.0,0.02300729092948034,0.022997813956081373,0.02307618621906361,0.023403153550059286,0.02298419911878484,0.023125663311677744
13,61.0,0.051553481124394104,0.051716675242911014,0.051448864531502776,0.05187055971754815,0.051485006917367286,0.05145031512314305
14,70.0,0.051553481124394104,0.051716675242911014,0.051448864531502776,0.05187055971754815,0.051485006917367286,0.05145031512314305
15,85.0,0.07983107395096277,0.07998853398792016,0.07980898592744903,0.0794445870148453,0.07983668917079172,0.07967353291000918
16,100.0,0.07930360517212423,0.0794888868697915,0.07928120529855814,0.07880068005457933,0.07950533031704536,0.07941081870422663
17,113.0,0.07884446147567788,0.07911962189659386,0.07879816946399305,0.07874112432720455,0.0790658057590844,0.07893582871686657
18,123.0,0.07709687889211031,0.07736452087310176,0.07701983786480338,0.07761897465896321,0.07731780053857307,0.07786365040544845
19,146.0,0.0778386400850115,0.07828873269870402,0.07794782525071489,0.07763223159654081,0.0780789444129848,0.07810572995810552
20,166.0,0.0784905480653811,0.07906508908028889,0.07821319471413529,0.07821048819503021,0.07869445992659357,0.07881116554045373
21,185.0,0.07909703686654558,0.0797394510839657,0.07875400985547647,0.07835609317798331,0.0793554653847077,0.07938885259562964
22,206.0,0.07879581048826567,0.07952093549275872,0.07838955053798453,0.07895708926810796,0.07894595564673154,0.07892153367210274
23,222.0,0.08001746967643432,0.08091009033155022,0.07976220127770149,0.0796202970918359,0.08002829757899776,0.07986052885845557
24,258.0,0.08058789853290003,0.08175363743165119,0.08020948971876268,0.07999623309488285,0.08074705169479968,0.08038721714201857
25,274.0,0.0828103935361182,0.0840693860130912,0.08133774304288277,0.08206626089860672,0.08289882708884527,0.08226362644408138
26,329.0,0.08671994264259412,0.08778619463249696,0.08561062577622945,0.08549724821357377,0.08701409762963458,0.0861961570531492
27,357.0,0.1385772492497412,0.1396107043779264,0.1386819753304345,0.13880342634894277,0.1398631502192369,0.13719949890636757
28,396.0,0.16068649777091956,0.1616235003146939,0.1615552083948385,0.1619371819871847,0.1607595467498352,0.162958221796373
29,428.0,0.15880601352103454,0.15996121181699616,0.1610039455449283,0.1606049767438721,0.15908717545856732,0.16223156625560342
30,474.0,0.1787362419775151,0.1811622291481422,0.177721326475737,0.18190504368488564,0.1794121091677808,0.1850116438950678
31,540.0,0.19838341211679283,0.20005245332841726,0.1926175689322371,0.2039459607123498,0.1990518102669045,0.207535584679675
32,587.0,0.200379232222027,0.20217578354612012,0.19359833069917784,0.20490429034419674,0.20091232877265583,0.20910025241769672
33,661.0,0.19916530502402296,0.20102838262144765,0.19288527577340223,0.2055733736705746,0.19988580300540376,0.20815233788350038
34,716.0,0.21730134999733122,0.21919699733537867,0.2094594986498106,0.2231398204904924,0.2148719313394042,0.22904018203236504
35,759.0,0.21908415224105604,0.2204785438506589,0.2105947324158423,0.22428658726289932,0.2174072333406318,0.22958456631644114
36,822.0,0.22045620236478966,0.22195897254588462,0.21085644880352444,0.22556592808189785,0.21851360035636339,0.23105717278126203
37,913.0,0.22167768181296754,0.22269465707309558,0.21183404521817548,0.22689891008674135,0.21938035952595275,0.23147639848293267
38,965.0,0.22753544510680837,0.228766194659022,0.21675508019502576,0.23256562493122637,0.22516128081197057,0.23592290919142583
39,1058.0,0.222669136235919,0.22436391277849366,0.2217444044121606,0.23061816204200802,0.22003839675909906,0.23369130960638024
40,1154.0,0.23177630979258326,0.23339911404021318,0.22497808067539984,0.24585259998902867,0.22934907716362532,0.24478190184797893
41,1311.0,0.23100264789632585,0.23304362282835067,0.22478574973492235,0.24575403549481067,0.2286309991917091,0.24384881398642286
42,1361.0,0.23129705845182563,0.23373297107502577,0.22541531150867047,0.24802317643322713,0.2282326904937222,0.24394894177317233
43,1524.0,0.22722570540007916,0.22933934689098237,0.22499456130161014,0.24745547291553063,0.22303117957076854,0.24267179046693346
44,1656.0,0.24184931622734698,0.2441890886864495,0.23462163349232107,0.2627183470072523,0.23605103188366347,0.25557082538664844
45,1810.0,0.2548526239719794,0.25638322886180026,0.24158425504435435,0.28021234038167664,0.24755648285184936,0.2683718239165536
46,2025.0,0.22422197515018089,0.2276986549407033,0.225052575214015,0.2592076957845219,0.21448969365044848,0.2422263733381096
47,2183.0,0.23444710386692788,0.23671638301416764,0.2342272600329691,0.2622291311283915,0.2244391944701444,0.2536426695904816
48,2639.0,0.16965351994294947,0.17028054229447276,0.18972973038310795,0.20494632148880554,0.16229874823767915,0.18001259801775993
