,timesteps,full_model,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,stage_event_clinical_stage_Stage.IV.B.C_clinical=0,stage_event_clinical_stage_Stage.IV.B.C_clinical=1,neoplasm_histologic_grade_G2_clinical=0,neoplasm_histologic_grade_G2_clinical=1,alcohol_history_documented_YES_clinical=0,alcohol_history_documented_YES_clinical=1
0,3.0,0.9953507621201817,0.9951641072613435,0.9951641072613435,0.9954195887478983,0.995288672092297,0.9953283206532996,0.9954109956188215,0.9951556288453594,0.9954520042648357
1,14.0,0.9911005311193432,0.991162780873221,0.991162780873221,0.9910781732395155,0.9911153687378876,0.9916613939893204,0.9908358416526776,0.9908128130019308,0.9912469946604312
2,32.0,0.9865197530271168,0.9861735190166443,0.9861735190166443,0.9865333937216035,0.986503795825654,0.9868713538653907,0.9863740611274828,0.9859918969275122,0.9867800985373908
3,51.0,0.9865197530271168,0.9861735190166443,0.9861735190166443,0.9865333937216035,0.986503795825654,0.9868713538653907,0.9863740611274828,0.9859918969275122,0.9867800985373908
4,64.0,0.9794229684828157,0.978587631710904,0.978587631710904,0.979336682909064,0.9795265472298431,0.9802077773408543,0.9790398032217885,0.9789671095318405,0.9796452164920001
5,90.0,0.9629112872951033,0.9624194735292718,0.9624194735292718,0.9630687535610808,0.9628086494436341,0.9634803356580445,0.9625645980091685,0.9620169793721418,0.9633473456834223
6,110.0,0.9583103552435882,0.9579283934540243,0.9579283934540243,0.9583624741965898,0.958294471382059,0.9588317603261094,0.9580039657522383,0.9574088798534263,0.9587493945605261
7,126.0,0.9535067111034905,0.9535343534387042,0.9535343534387042,0.9535295094355254,0.9535098063347275,0.9547273866712704,0.9527259610730758,0.9524672128185036,0.954011648438031
8,142.0,0.9458253771034649,0.9461245790165579,0.9461245790165579,0.9459363226278596,0.9457587796771884,0.9483941396473562,0.9441497486893075,0.9447234641688818,0.9463578165551287
9,153.0,0.9405682740760124,0.9403524921975925,0.9403524921975925,0.9404936693576693,0.9406527954836161,0.9434462569893095,0.938704863618392,0.9391196573148187,0.9412640687428536
10,160.0,0.9381281315129505,0.9380023709642157,0.9380023709642157,0.9380535267946062,0.938212652920554,0.9415146707955774,0.9359348085726282,0.9367174057546587,0.9388069961572185
11,179.0,0.9295538595532737,0.9292916157236565,0.9292916157236565,0.9298034053921909,0.929392734031688,0.9348759019762172,0.9262152324335683,0.9283420215544966,0.9301327057078046
12,188.0,0.9214880344792755,0.9217772989206691,0.9217772989206691,0.9217648129344718,0.9213044707256345,0.924934669366815,0.9193877997619252,0.9202759228639726,0.9220638655901595
13,201.0,0.9106961591722056,0.9109510670538447,0.9109510670538447,0.9111694917153822,0.910393570922555,0.9153206175776302,0.90780864688179,0.9092766337859222,0.9113655616525045
14,216.0,0.902163352151613,0.9016064151479883,0.9016064151479883,0.902534956877352,0.9019734341726324,0.9057435505040459,0.8999523884321197,0.9007539672380721,0.9028246342312745
15,225.0,0.8966846523012342,0.8965268293325257,0.8965268293325257,0.8970714705675684,0.8964834066149473,0.9012393379388471,0.893898110317926,0.8953502261318251,0.897308163346328
16,237.0,0.8966846523012342,0.8965268293325257,0.8965268293325257,0.8970714705675684,0.8964834066149473,0.9012393379388471,0.893898110317926,0.8953502261318251,0.897308163346328
17,256.0,0.8875366151089563,0.8875313263538163,0.8875313263538163,0.8878613879695064,0.8874039912681161,0.8918854291993757,0.8847127008210981,0.8861650843022751,0.8881798679810723
18,279.0,0.8690430336036231,0.8697150649454808,0.8697150649454808,0.869362871176463,0.8688972321202241,0.8732819195810329,0.8662528700532508,0.8669107366316684,0.8700447631948035
19,307.0,0.859713277078867,0.8608934847151477,0.8608934847151477,0.8599196323754014,0.859695307056917,0.8629174350052978,0.8575456840681849,0.857694988092219,0.8606731674939626
20,327.0,0.8506631474655701,0.8524859217163009,0.8524859217163009,0.8506562169175519,0.8508028443919549,0.8543378403300305,0.8481831917067194,0.8487257411857766,0.8515860733561398
21,348.0,0.834424794011727,0.8355359931526755,0.8355359931526755,0.8341149679315484,0.8347636197247672,0.8394399442184048,0.8310636804468665,0.8317978083098339,0.8356736986160579
22,354.0,0.8236526920700564,0.8255370958249093,0.8255370958249093,0.8234976068318994,0.8238813007915542,0.8300609016145636,0.8194169359044621,0.8212091268262985,0.8248121050091335
23,368.0,0.8170839584704913,0.8190690053350476,0.8190690053350476,0.8170145268013982,0.8172449101407976,0.8249530562811265,0.8118823514194585,0.8147364719149552,0.8182107442011348
24,388.0,0.8030615010494923,0.8052520469369807,0.8052520469369807,0.8030986081355864,0.8031884360024628,0.8115717394449773,0.7973885198844157,0.8009662238746549,0.8040620192189591
25,397.0,0.7895877625647578,0.791173367106301,0.791173367106301,0.7899042347826805,0.789528482000204,0.7965333616977373,0.7847858273814374,0.7876858029802519,0.7904810574456222
26,413.0,0.7795669096993147,0.781383288862935,0.781383288862935,0.7797196926530695,0.7796292156281043,0.7874277582541794,0.7742605934808151,0.7775390333343193,0.7805190686084129
27,439.0,0.7638994907397126,0.7664734332857057,0.7664734332857057,0.7641120020620065,0.7639572704101384,0.7734517825496364,0.7576166346553121,0.7620947810124441,0.7647338517093534
28,462.0,0.745163341084175,0.7482647938982283,0.7482647938982283,0.7455332175745156,0.7450356023669799,0.7565946131040433,0.737708611537076,0.743505757074207,0.7459578814744362
29,484.0,0.7295768056134294,0.7333548172740134,0.7333548172740134,0.7301248772446112,0.7292949954866085,0.7425023872725509,0.7211655764597347,0.7281810512994873,0.7302707241028185
30,514.0,0.7136067141970085,0.7168394646748316,0.7168394646748316,0.7137676856093368,0.7135604741276964,0.7280445458418355,0.7040921515075509,0.7120496691085287,0.7143619533980898
31,540.0,0.7056451030616414,0.7092703206211833,0.7092703206211833,0.7058875471139467,0.7055560261543683,0.72164386403297,0.6951047246832345,0.7039050815400677,0.7064821657004623
32,572.0,0.6860419583287524,0.6907259904409702,0.6907259904409702,0.686529049397603,0.6857299661424404,0.7016770792827921,0.6756874519160874,0.6846250993783694,0.6867583209093261
33,605.0,0.6653743232911232,0.6687498172571171,0.6687498172571171,0.6660931656680327,0.664950072140209,0.6837823207434449,0.6533967471387754,0.6640056905588757,0.6660686173273077
34,654.0,0.6482578614456008,0.6514821991770343,0.6514821991770343,0.6489010393906572,0.6478869310705118,0.6699686031083748,0.6342990370596745,0.6467934651474656,0.6489906949788559
35,743.0,0.6403719331107409,0.6433591680162647,0.6433591680162647,0.6409613678328294,0.6400200737915724,0.6604165909920875,0.6275447124426157,0.6386223886675689,0.6412643115065865
36,815.0,0.6309094934070861,0.6344010190284688,0.6344010190284688,0.6314857034780976,0.6306035663453031,0.652228518944505,0.6173347011825494,0.6292530464690937,0.6317713846461193
37,876.0,0.6196883015190964,0.6232134594710658,0.6232134594710658,0.6200506673136519,0.6195290309892295,0.6405359130503088,0.6066325074401194,0.6181621160322808,0.6204831449742895
38,910.0,0.6141360981176073,0.6181469090800619,0.6181469090800619,0.6146068100848423,0.6139105581828708,0.636060391862277,0.6004512344712821,0.6126348735615086,0.61491900373637
39,985.0,0.6027019070750514,0.605616354920501,0.605616354920501,0.603260067499504,0.6024095079624049,0.6270421982409035,0.5874762363897249,0.6013712029578158,0.6033844864603961
