,timesteps,full_model,clinical,cnv,mirna,mutation,rna
0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20.0,6.191004932238783e-05,6.528400428676264e-05,6.7178883959443e-05,5.515565583079706e-05,6.224135323582968e-05,5.785606407988034e-05
3,34.0,6.170567752563314e-05,6.391803009522036e-05,6.539140844302564e-05,5.561330429504647e-05,6.215287009147216e-05,5.803642830920218e-05
4,42.0,6.170567752563314e-05,6.391803009522036e-05,6.539140844302564e-05,5.561330429504647e-05,6.215287009147216e-05,5.803642830920218e-05
5,57.0,0.00031189090122312775,0.00030583944729543937,0.00031779205132058527,0.0002984255070547649,0.00031705827892134116,0.00031500069771646453
6,63.0,0.00044050796564224507,0.0004395094290361751,0.00046862915010285373,0.0004144450231679034,0.0004481174594470133,0.00045219627670356173
7,68.0,0.0006677519846387272,0.0006574517561709906,0.0006845878058873207,0.0006223432359371216,0.0006701965804309815,0.0006818201297713402
8,82.0,0.029418296345790115,0.02977261381145066,0.02948256317012085,0.029331995113494557,0.029433833449471734,0.029702793601124503
9,93.0,0.02960513888242001,0.03006256225847567,0.029698318670499123,0.02958660142565217,0.02964559597475351,0.029689280487353673
10,106.0,0.05832426546801095,0.059140568916629235,0.05835161558625715,0.059063473565233185,0.058624378306496056,0.05854322571790375
11,122.0,0.05828410936104532,0.05887471651784592,0.058083707706010436,0.05907400111262439,0.05866356905146314,0.05865768437477236
12,134.0,0.05830292609088006,0.058859982173780453,0.05808111353757796,0.0590920678741862,0.058685651247595005,0.05868621005997594
13,147.0,0.057328716133244986,0.0583504643937957,0.05705103538493776,0.058661608121954555,0.057761466732539936,0.057948537451903544
14,163.0,0.05691828219334447,0.057901227481980275,0.056431622752571735,0.05875278251357382,0.05744240285798727,0.057883503048584355
15,173.0,0.05672904536121083,0.05820273740969864,0.056014139609997626,0.05907845005013926,0.05722295533648792,0.05765201041820126
16,187.0,0.05666285946471985,0.05846278647048035,0.056037431686434956,0.059170313756182306,0.05720844185403073,0.057471098678099526
17,195.0,0.09196355053967188,0.09325536130758903,0.08888542363952161,0.09489326676920742,0.09211535768934492,0.0912011960791741
18,205.0,0.12608716880163148,0.1306618158290183,0.12135400366907036,0.12614086130242208,0.12623337180736308,0.12609128920504833
19,213.0,0.12582821923155815,0.13034492295519004,0.12006778845761408,0.12645417712782947,0.12595372762058143,0.12594417436200847
20,225.0,0.12593992513104418,0.13007808147075817,0.12002462960997391,0.12675013328313184,0.12616376635026483,0.1261996193323144
21,238.0,0.16385389266107717,0.16858940026636482,0.15666772526988992,0.16307386342966235,0.16421109636934006,0.16366942151651587
22,247.0,0.16387666216148303,0.16851021229176186,0.15681262397325849,0.16306332931080367,0.16426637630472954,0.16370613151332328
23,259.0,0.1603661454708158,0.16619435613456915,0.1521796379923059,0.1598899654883702,0.16079219197301214,0.1612330277285709
24,272.0,0.16204268509365893,0.16774628697958605,0.15133223374390675,0.1609820856498207,0.1626836422760235,0.16334976502497459
25,294.0,0.2081638325388673,0.2104532014240773,0.1951717087971479,0.20757250951902587,0.20880572079322227,0.20893466049038698
26,322.0,0.20744607842756907,0.2090973832329449,0.1942774095207864,0.20639012717362046,0.2082045988831155,0.20812117537394656
27,340.0,0.20696985843991228,0.20861573227064142,0.1918152289737764,0.20653535930068748,0.20766433908821394,0.20794701853324013
28,366.0,0.20670523289898465,0.2060046510418358,0.19126727212040748,0.20699211172923213,0.2076220584150291,0.2079406127835906
29,390.0,0.2081092606355441,0.2066459495454134,0.19049984786081658,0.20875448835896715,0.20920875083381982,0.20918099416528657
30,415.0,0.23156487135310955,0.2390761013191144,0.21600911220111135,0.23424559421191812,0.23245938760611737,0.2356935826307732
31,457.0,0.2999846409675367,0.3032950372657169,0.2918500897633792,0.29842808262903375,0.3006713038054999,0.3079812518669047
32,493.0,0.2952989087128811,0.2983275875446117,0.2846047748384769,0.2933943574247333,0.29610426850759386,0.30193743691905256
33,544.0,0.28267865202870013,0.2863930485520868,0.27031740509684093,0.282398828984678,0.283678033664748,0.2892425413611736
34,592.0,0.27533249362755197,0.2783969208931778,0.2623781062515326,0.27648606632827916,0.2767922327552796,0.2799714850542347
35,625.0,0.2719506848458668,0.27645882295948604,0.25876808175693056,0.2722946523165164,0.2738230304327367,0.27277809016877247
36,690.0,0.26913303909204395,0.2735116478958001,0.2567790215455018,0.26971613723046706,0.2708587884883796,0.27064396573623045
37,796.0,0.3074167136700388,0.31391306535521935,0.28786082150087516,0.2984039999103741,0.3087129563520709,0.30240521204159715
38,859.0,0.3000444255665576,0.3027125646453379,0.2800225364905129,0.290902737939648,0.3015096678070766,0.29815284211380677
39,1029.0,0.3010974511726358,0.3047850230002643,0.2817442406542315,0.28916400778704054,0.3024455039587449,0.2969595878493718
40,1108.0,0.29260276139865143,0.2941619737868229,0.27541995671557074,0.2832772397973519,0.2938581165945738,0.288226859382485
41,1301.0,0.281246680275771,0.27977306720181533,0.27663603425980904,0.2756077602404955,0.283001661235247,0.2782765393210174
42,1455.0,0.27948091964664495,0.27912047581508603,0.2773674591562984,0.2752688076016531,0.281179137159302,0.2723222910134506
43,1561.0,0.25144403444133023,0.263903644545437,0.2565243529192393,0.25217277456092246,0.25334174389431025,0.2474392131479396
44,1775.0,0.2572903987494453,0.2631751097318226,0.2629618352679746,0.25945439470056214,0.25988598178157785,0.23870829601692947
45,1971.0,0.25783927904511983,0.2556734154034074,0.2592954828033241,0.25895000166585186,0.26091806393087175,0.24661791714553466
46,2268.0,0.26262801705309885,0.2658244696531754,0.2611420168731731,0.26336423716420704,0.2658678683825467,0.24515719995692248
47,2641.0,0.2713394556056134,0.2798702812280172,0.27483860927462045,0.2740874812952021,0.2726886798773372,0.2400326645865066
