,timesteps,full_model,laterality_Right_clinical=0,laterality_Right_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1,histological_type_Oligodendroglioma_clinical=0,histological_type_Oligodendroglioma_clinical=1,tumor_location_Supratentorial..Temporal.Lobe_clinical=0,tumor_location_Supratentorial..Temporal.Lobe_clinical=1
0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,7.0,0.9975145078379275,0.997551717644827,0.9974725790030393,0.9975535373927212,0.9974747904059229,0.9975145078379275,0.9975145078379275,0.9974950738113335,0.997559399302867
3,18.0,0.9975145078379275,0.997551717644827,0.9974725790030393,0.9975535373927212,0.9974747904059229,0.9975145078379275,0.9975145078379275,0.9974950738113335,0.997559399302867
4,55.0,0.9951347918610064,0.9951467314166075,0.9951160274231416,0.9951413424285631,0.9951325688083031,0.9951501345135801,0.9951185968388444,0.9952202324970852,0.9948785773624778
5,74.0,0.9951347918610064,0.9951467314166075,0.9951160274231416,0.9951413424285631,0.9951325688083031,0.9951501345135801,0.9951185968388444,0.9952202324970852,0.9948785773624778
6,90.0,0.9951347918610064,0.9951467314166075,0.9951160274231416,0.9951413424285631,0.9951325688083031,0.9951501345135801,0.9951185968388444,0.9952202324970852,0.9948785773624778
7,103.0,0.9928914815097533,0.9928243658752589,0.9929434992630471,0.9928635868435295,0.9929290744744527,0.9928578353418281,0.9929192508136815,0.9929653633457018,0.9926688202893377
8,113.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
9,121.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
10,126.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
11,143.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
12,159.0,0.9899083940782812,0.9899010822981839,0.9898844567969928,0.989850352445596,0.9899673411442245,0.9898568481490192,0.9899606263893689,0.9899628418876355,0.9897257089915179
13,175.0,0.9868010468155864,0.9867732781653895,0.9868009758827478,0.986632645752104,0.9869520871816055,0.986722557035049,0.9869059107056226,0.9868177107169903,0.9866924197312819
14,189.0,0.9834559285157035,0.983428159865507,0.9834558575828646,0.9833514487624863,0.9835415983295317,0.9833224115490623,0.9836363661850558,0.9835080737218008,0.983303850212768
15,199.0,0.9768918469169373,0.9767217406569166,0.9770141827137405,0.9767003424249632,0.9770654655561983,0.9766079310698781,0.9772652119170935,0.9771837348553309,0.9762843140959233
16,214.0,0.9737137140294424,0.9734933179637625,0.9738837825231423,0.9734786971680892,0.9739313070814198,0.9734258204576417,0.9741119398092314,0.9741052256818753,0.9729511240530843
17,228.0,0.9701990947227497,0.9700140252861515,0.970339809331949,0.9699884312781811,0.9703931461385019,0.9699068256537334,0.9706246673601366,0.970648463979436,0.9693503190537154
18,241.0,0.9633678966745954,0.963324162362869,0.9633878394043667,0.9631446331139842,0.963597639945283,0.9629788002103753,0.9639041043241524,0.9639667372987204,0.9622113182944944
19,263.0,0.9557883205338418,0.9556800055660964,0.9558650359956553,0.9556504579971007,0.9559276335864675,0.9553333020051125,0.9564651669222509,0.9565491321575736,0.9543412613697129
20,287.0,0.9521177331901024,0.9519522760337393,0.9522480601919971,0.9520437919636257,0.9521916756905384,0.9516436174391516,0.9528500315474845,0.9529377725232763,0.9506040233814712
21,315.0,0.9483189281895181,0.9481907622026058,0.9484015224945154,0.9481533572323901,0.9484529627458689,0.9477483863594466,0.9491950606000126,0.9492659029101919,0.9464660605517982
22,333.0,0.9448526447302905,0.9446900630678006,0.944966786737901,0.9447509950834284,0.9449213087344519,0.9442777274030038,0.9457561239983828,0.9458388710267563,0.942951122398021
23,361.0,0.933333273450898,0.9332166092875404,0.9334104836213342,0.93323739578349,0.9333956466061264,0.9327579563323664,0.9342811447751055,0.9344263416125818,0.9311882147254945
24,383.0,0.929030610502562,0.9287809577420154,0.9292318938901928,0.9289347328351547,0.9290929836577897,0.9284157647444125,0.9300396393446686,0.9301821512179441,0.9267568439694525
