,timesteps,full_model,stage_event_pathologic_stage_Stage.III_clinical,stage_event_pathologic_stage_Stage.IV_clinical,diagnosis_subtype_Papillary_clinical,gender_MALE_clinical
20,213.0,0.8928632869098105,2.783984134511071e-06,0.00045460215561587524,1.2883964872934026e-05,1.7104176111162803e-06
21,225.0,0.8889708323678756,4.00704014980095e-06,0.00047308747349281117,1.7000396088348907e-05,1.7463632149089526e-06
22,238.0,0.8805922499005003,4.097470553892633e-06,0.0004242562778488256,1.741137975197475e-05,1.7023996732659014e-06
23,247.0,0.8805922499005003,4.097470553892633e-06,0.0004242562778488256,1.741137975197475e-05,1.7023996732659014e-06
24,259.0,0.8592332569871203,4.724242803444e-06,0.0005889357195399844,2.3004178412107735e-05,2.321490769125545e-06
25,272.0,0.8462477759181016,9.870523207920274e-06,0.0006461117166421889,3.077405647964503e-05,2.2574694958928883e-06
26,294.0,0.8373876108488734,9.830373832380529e-06,0.000633868276878437,3.0552370993947106e-05,2.34792530397923e-06
27,322.0,0.8323977469653231,1.1544228007713462e-05,0.0006843492848293437,3.1512210702559186e-05,2.266833223717838e-06
28,340.0,0.817576118652279,1.3590125261193313e-05,0.0006849776965997435,3.841861866496985e-05,2.3521715554757474e-06
29,366.0,0.8031100566272855,1.3666500490738508e-05,0.0009152377079562801,4.191310877565984e-05,2.6782221775720135e-06
30,390.0,0.7922585845080893,1.694976819372974e-05,0.0010433878503964017,4.253235192432115e-05,3.0512879171186875e-06
31,415.0,0.7755666885903649,1.9989870856280813e-05,0.001089013970122177,4.0336562799558064e-05,3.903672042551855e-06
32,457.0,0.7540200955401021,3.351743372738785e-05,0.0012388760301342712,5.6449298675193e-05,3.850510507406455e-06
33,493.0,0.7372385710724404,3.843599843121929e-05,0.0011980618688515411,6.694509671862106e-05,4.071210185890379e-06
34,544.0,0.7042660778439176,5.26729359376978e-05,0.0015794217370470789,9.378124389637342e-05,3.60530376000338e-06
35,592.0,0.6739808059387786,6.479660985618883e-05,0.0016927760776993606,0.0001438102289663848,4.172946356074469e-06
