,timesteps,full_model,clinical,cnv,mirna,mutation,rna
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.0,8.84372584004669e-06,9.916607399658412e-06,9.61500885270755e-06,9.037698353528013e-06,8.857581750283124e-06,9.171482314985621e-06
3,18.0,8.84372584004669e-06,9.916607399658412e-06,9.61500885270755e-06,9.037698353528013e-06,8.857581750283124e-06,9.171482314985621e-06
4,55.0,6.523276135782691e-05,5.453085836479979e-05,6.75250441827065e-05,5.483291416498565e-05,6.722381520058933e-05,6.920352253614036e-05
5,74.0,6.676656111043999e-05,5.519403097683196e-05,6.908515334826024e-05,5.5983258315310266e-05,6.882135115691976e-05,7.087780594521647e-05
6,90.0,6.676656111043999e-05,5.519403097683196e-05,6.908515334826024e-05,5.5983258315310266e-05,6.882135115691976e-05,7.087780594521647e-05
7,103.0,0.00016193033305153765,0.00014202706994202515,0.0001625701972955819,0.00014643933605407394,0.00017588076361770144,0.00017005955850389165
8,113.0,0.0002885029634147932,0.0002602035054214704,0.0002836448559652755,0.0002588065681624085,0.0003060005234997679,0.00030083045473129036
9,121.0,0.00029596108928995935,0.0002648307731678215,0.000291011231704292,0.00026127570795642026,0.00031393430085569564,0.0003082387604435505
10,126.0,0.00029596108928995935,0.0002648307731678215,0.000291011231704292,0.00026127570795642026,0.00031393430085569564,0.0003082387604435505
11,143.0,0.000291537176669118,0.00026321338087584913,0.00028285681482627286,0.00026143977023603286,0.00031135879173575164,0.00030061680007744144
12,159.0,0.00028209523106449805,0.00027223591934234895,0.00027136264821346184,0.00024048181844282083,0.0003054709763892387,0.0002933562623293668
13,175.0,0.0004612713944553196,0.0004838704611039252,0.00045507370941586233,0.00043372279015433177,0.0004798700152610172,0.0004530355407437597
14,189.0,0.000657744293145957,0.000663809166864824,0.0006449728708688522,0.0005931181068399292,0.0006679155471393601,0.0006552800492984468
15,199.0,0.0012300499805004423,0.0010975782551902688,0.0011948711908841977,0.0009876821795642143,0.0011836744154695455,0.0012080202148246613
16,214.0,0.0303143751243317,0.031207445688020124,0.030389244001200418,0.030986535430667005,0.0305469354078719,0.030320242664180763
17,228.0,0.028921809791831708,0.02988342501061086,0.029123934527488262,0.030863414628056487,0.029510273160299274,0.02891578474206232
18,241.0,0.028611383590761947,0.02959641831097632,0.0287078594715648,0.030310838114715476,0.029231800435459313,0.028620722544267875
19,263.0,0.02653452493978279,0.028089547593650902,0.026521426365624108,0.030265972593613473,0.027633399625388258,0.026646744746377387
20,287.0,0.02560481954170322,0.027243154687129293,0.02553193858538867,0.03044768727750189,0.026893299723131883,0.025758390649171833
21,315.0,0.061086534098756064,0.06231937234337304,0.06071858813031025,0.0647771717296937,0.06330639199011237,0.0616750797680335
22,333.0,0.06030698974413386,0.06158507329239657,0.05977263948567759,0.06466992140311681,0.06287181783882309,0.06080328940663337
23,361.0,0.07855809693877154,0.0845909521995262,0.07836307883699209,0.09442376602473188,0.08525634407541027,0.07941036738714101
24,383.0,0.07815670522057862,0.08416174886986783,0.07796236330998826,0.09435735115034669,0.08433065824181867,0.07880059335095209
25,415.0,0.07774356770844862,0.08376149670544107,0.0775576301849647,0.09105230357530107,0.08448970573813311,0.07856557708124444
26,443.0,0.07569434144940612,0.08207205143982552,0.07529044556925212,0.09072931571021885,0.08297480156134115,0.07657346968000334
27,469.0,0.10316355375482665,0.11245210622136631,0.1042686206779291,0.12702475933760063,0.10979486040190597,0.10406232699317179
28,492.0,0.09913432634632044,0.10749448800224828,0.1002949590265999,0.12653091131743133,0.10629668560926157,0.09976184126574732
29,530.0,0.0932077091550166,0.10219867494603019,0.09443209496941515,0.12403365209777573,0.10099661766972014,0.09499647871702259
30,554.0,0.12578403987173856,0.14384555364411178,0.1256078531636174,0.15330794942202347,0.13425918736084946,0.126958638824389
31,576.0,0.12353205863610314,0.1407685560814425,0.12401311997898974,0.14944700454575674,0.13173860736226314,0.1267369702314635
32,626.0,0.10867172260063346,0.1229897573988143,0.10892295605633341,0.14626341033594883,0.1180862130559007,0.11181662979198322
33,687.0,0.10758863414780674,0.12365190412595287,0.1072607679372864,0.1401240959934341,0.1177024412510997,0.10981077182841786
34,727.0,0.09522527127017845,0.11283984870504477,0.09530673928094405,0.13355343238291684,0.10622037762591409,0.09894578333572067
35,800.0,0.09470722852864558,0.11424572135510953,0.09443593284215249,0.13147804637819874,0.10507952549667066,0.09772321022491896
36,846.0,0.1324024165218814,0.14763033186957236,0.13178861900436137,0.18632388739823535,0.1426196615463329,0.13394725825873405
37,900.0,0.18015965352703808,0.19076711877943853,0.18093126065220763,0.23944447742739222,0.18935527932092536,0.18173913534086406
38,933.0,0.1727524578741725,0.18414215379483875,0.17321029284460757,0.2312831202658451,0.1810911241806096,0.1757961434630321
39,964.0,0.1692986219663577,0.17857234296413513,0.17049036501013462,0.22296197789050454,0.1764695154111732,0.1756229604549615
40,1026.0,0.22193963748816606,0.22068800106032313,0.22112761533582856,0.2758391028089722,0.2267415068737263,0.2296979946043679
41,1229.0,0.22151277666495017,0.2208196920900012,0.21997636353079716,0.27373094200101933,0.22620154119688102,0.2278864029501159
42,1335.0,0.19206996300896226,0.2027038313534921,0.18876867601824368,0.262133790337075,0.19570855585313557,0.19444881065772912
43,1458.0,0.26303264394798376,0.2603741627514722,0.2571879960120281,0.32994933373511964,0.26761155275183807,0.25988537927993255
44,1614.0,0.24685949006629046,0.24386847515896487,0.23357088686265523,0.3179424038260428,0.250676651372814,0.24253240093164838
45,1834.0,0.24176060761241802,0.24180847569029015,0.23165068421568535,0.2978089794237489,0.24466267123099203,0.23918778053369685
46,2146.0,0.20887493202125995,0.2105196892427021,0.195481365477421,0.2786018785097304,0.20945588677940033,0.204440695524669
47,2369.0,0.196090370303088,0.198067859761662,0.18184909069121574,0.2664168092154251,0.19874790119570723,0.19324253687790022
48,2761.0,0.20990924840152342,0.1967257211687763,0.22078787433002067,0.27141679694789744,0.21246866756953683,0.18890154805943926
