,timesteps,full_model,tobacco_smoking_history_clinical=0,tobacco_smoking_history_clinical=1,gender_MALE_clinical=0,gender_MALE_clinical=1,anatomic_neoplasm_subdivision_R.Upper_clinical=0,anatomic_neoplasm_subdivision_R.Upper_clinical=1,stage_event_pathologic_stage_Stage.IB_clinical=0,stage_event_pathologic_stage_Stage.IB_clinical=1
0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4.0,0.9976452922218595,0.9976808391416936,0.9976808391416936,0.9975796949344312,0.9976818076104874,0.9976810903439254,0.9975948227382914,0.997460124139775,0.9980818561707605
2,7.0,0.9976452922218595,0.9976808391416936,0.9976808391416936,0.9975796949344312,0.9976818076104874,0.9976810903439254,0.9975948227382914,0.997460124139775,0.9980818561707605
3,11.0,0.9976452922218595,0.9976808391416936,0.9976808391416936,0.9975796949344312,0.9976818076104874,0.9976810903439254,0.9975948227382914,0.997460124139775,0.9980818561707605
4,15.0,0.9976452922218595,0.9976808391416936,0.9976808391416936,0.9975796949344312,0.9976818076104874,0.9976810903439254,0.9975948227382914,0.997460124139775,0.9980818561707605
5,19.0,0.9951856134970781,0.9952678486133787,0.9952678486133787,0.9950830793104768,0.9953017873923008,0.9952214116191439,0.9951351440135101,0.9948532919101293,0.9960342834710503
6,23.0,0.9925421868175955,0.992044715007487,0.992044715007487,0.9924089180095905,0.9927050833563715,0.9926453771094442,0.9923767264628744,0.9920414454178083,0.9937986648930187
7,27.0,0.9925421868175955,0.992044715007487,0.992044715007487,0.9924089180095905,0.9927050833563715,0.9926453771094442,0.9923767264628744,0.9920414454178083,0.9937986648930187
8,33.0,0.9898268940508689,0.9894819369445125,0.9894819369445125,0.989693625242864,0.9899897905896458,0.9899005081150395,0.9897221789317255,0.9890397362147075,0.9917359542690325
9,35.0,0.9898268940508689,0.9894819369445125,0.9894819369445125,0.989693625242864,0.9899897905896458,0.9899005081150395,0.9897221789317255,0.9890397362147075,0.9917359542690325
10,39.0,0.9898268940508689,0.9894819369445125,0.9894819369445125,0.989693625242864,0.9899897905896458,0.9899005081150395,0.9897221789317255,0.9890397362147075,0.9917359542690325
11,44.0,0.9898268940508689,0.9894819369445125,0.9894819369445125,0.989693625242864,0.9899897905896458,0.9899005081150395,0.9897221789317255,0.9890397362147075,0.9917359542690325
12,48.0,0.9898268940508689,0.9894819369445125,0.9894819369445125,0.989693625242864,0.9899897905896458,0.9899005081150395,0.9897221789317255,0.9890397362147075,0.9917359542690325
