,timesteps,full_model,tumor_residual_disease_1.10.mm_clinical=0,tumor_residual_disease_1.10.mm_clinical=1,anatomic_neoplasm_subdivision_Left_clinical=0,anatomic_neoplasm_subdivision_Left_clinical=1,stage_event_clinical_stage_Stage.IIIC_clinical=0,stage_event_clinical_stage_Stage.IIIC_clinical=1,tumor_residual_disease_No.Macroscopic.disease_clinical=0,tumor_residual_disease_No.Macroscopic.disease_clinical=1
0,12.0,0.9953524918584349,0.99544942368572,0.9952402503210547,0.9953902127240294,0.9952452851877981,0.9953829332587388,0.9953398079416415,0.9950556014673181,0.9964633984167406
1,24.0,0.9819346100417193,0.9818723100974328,0.9819234422170436,0.9820168786350814,0.9816721794093515,0.9819650514420238,0.9819219261249259,0.9808350099468389,0.9861519830641049
2,61.0,0.9671723319847187,0.9667560230596911,0.9673975437492296,0.9672274395010841,0.966983539924454,0.9671222727931066,0.9671936409649317,0.9650731809379618,0.9745971214705098
3,89.0,0.9626279491479688,0.9623621964499975,0.9627305776960376,0.9627619475223348,0.9621891131818382,0.9625033085256108,0.9626857878085479,0.9602787515187211,0.9709814513821499
4,94.0,0.9533555677159422,0.9533068415296727,0.9532850171907752,0.9534514557987738,0.9530410418004913,0.9532683700159595,0.9534033607144197,0.9513959962066286,0.9602454881987461
5,116.0,0.9533555677159422,0.9533068415296727,0.9532850171907752,0.9534514557987738,0.9530410418004913,0.9532683700159595,0.9534033607144197,0.9513959962066286,0.9602454881987461
6,129.0,0.9488112122671862,0.94853536937775,0.9489298457407213,0.9488940540356017,0.9485244097698703,0.9487631535104519,0.9488312818475299,0.9465759087541663,0.9566578989916601
7,147.0,0.9488112122671862,0.94853536937775,0.9489298457407213,0.9488940540356017,0.9485244097698703,0.9487631535104519,0.9488312818475299,0.9465759087541663,0.9566578989916601
8,168.0,0.9488112122671862,0.94853536937775,0.9489298457407213,0.9488940540356017,0.9485244097698703,0.9487631535104519,0.9488312818475299,0.9465759087541663,0.9566578989916601
9,185.0,0.9488112122671862,0.94853536937775,0.9489298457407213,0.9488940540356017,0.9485244097698703,0.9487631535104519,0.9488312818475299,0.9465759087541663,0.9566578989916601
10,192.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
11,220.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
12,239.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
13,257.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
14,277.0,0.9436019494643885,0.9434976566069772,0.9435536248226709,0.9436847912328037,0.9433151469670725,0.9435538907076539,0.943622019044732,0.9411501209156408,0.9524496422192616
15,360.0,0.9322443626214763,0.932189951389288,0.9321482115249695,0.9323157888647767,0.9320003683433374,0.9323232286902962,0.9322066385664007,0.929098989730326,0.9438479108606245
16,395.0,0.9147418557013641,0.9143919560152285,0.914810167322101,0.914901459708987,0.9142159905835103,0.9149197518236062,0.9146792950449814,0.9103658118655862,0.9305638990509663
17,446.0,0.9027169060806743,0.9021396543661462,0.9029911319328006,0.9028383496186297,0.9022996515303364,0.9029409716600449,0.9026436909341848,0.8993405365622853,0.914674808179921
18,528.0,0.8904249668777159,0.8892205476389078,0.8912605664678265,0.8905343233890798,0.890039944398288,0.8906490324570859,0.8903517517312264,0.8862141864150034,0.9047885482245502
19,555.0,0.8772915668358569,0.875753470674184,0.8783979618554869,0.8773158417938174,0.8771752857146392,0.8775963877836543,0.877171212544055,0.8724057208064357,0.894294501603016
